comment,cid,author,videoId,pageUrl,commentsCount,title
Digital fiat money - what else does the world need! Of course controlled by the big global players on the global financial market. In them we trust.,UgzZ6t4kvIjuSsMxpL94AaABAg,@wilhelmmeyer89,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
if it is launched by wb and imf then it is not in global south interest,Ugx9N1KMSukqZEhCXF14AaABAg,@silversurfergw,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"First they are destroying our tangible money then, replacing it with controlled currency that the governments will issue or withdraw according to their choosing. Incentive to excell will be eliminated. Then comes the ""mark of the beast"" wherein those possessing it are the only ones who can conduct commerce in this Orwellian society. Those who refuse will have to operate 'underground'. Chilling prospect isn't it?",Ugy8445_xnr48Fb28Yl4AaABAg,@d.tombentz3382,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
Can an individual buy CBDC?,UgwGzTvInrmVOfuovnV4AaABAg,@RS-bn9rx,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
We will all be slaves.,UgzpHzSZ-35KmhQi0LR4AaABAg,@timjones1583,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"Hello there, Lena. 
Thank you for this information; I was wondering if you had been keeping up with any CBDC custodian wallet research and development. If you know of one built for the purpose of interoperability?",UgwHJoYQ4r_mYOkD7nR4AaABAg,@solomonotowo7300,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
Are they using XRP?,UgyELSluOo4ilpXt8rp4AaABAg,@MLEPOS1,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
I will not adhere to this MADNESS.,UgxIm99CMttEWmStLf94AaABAg,@sherlenelockhart1760,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
WE will be totally controled,UgzLgvRopsIJt-xex9B4AaABAg,@kalorhebron1634,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
NO CONSENT TO SLAVERY.,Ugyw06HZ6GiDn0T7qgx4AaABAg,@AndroidSamsung-qz9pl,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
What is the difference between cbdc and digital bank that is being discussed in the net world?,UgzXH0Af1M25qZUfNwJ4AaABAg,@zaheedwaheed,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
Gold and silver and precious metals and gems will be devalued when they fully implement the digital currency in the global cashless society. They will have total control over the ones who take the microchip implants/tattoos. This is not a conspiracy anymore than your video and we need wisdom to guide us.,Ugyi-I2l3TdvvbrXhf54AaABAg,@stevierico5934,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
FUCK THE CBDC,UgyusgsJ8aBESKaaHjx4AaABAg,@ThePVTProductions,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
"This it s horrible.They were planning for so long.Elites want full control, never take any cbdc , it s just disgusting product, 0 privacy.",UgwPFdp7h6OBFUk1lQF4AaABAg,@craciuncostin4611,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
This is unconstitutional,UgxOEON1kFRsNP8csed4AaABAg,@Vonne292,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
120 countries have signed up for it! They will try not and use it like they did in Nigeria then the government limited the amount people could get out of their bank. It's coming unless the world pushes back hard!!  It's terrible what the government is doing to the farmers in the Netherlands!! I admire the farmers hope their protests work!,Ugx_uuzObIuPelE3Dq54AaABAg.9pLr1qI5b-b9pO-5l476SH,@larrydalton7164,n-pQjhh70G8,https://www.youtube.com/watch?v=n-pQjhh70G8,1742,🔴 GET READY: CBDC Has Been LAUNCHED by the World Bank and the IMF
